name,url,org_type,category,description,last_activity,confidence,verified,verified_at
kaspa-wasm,https://github.com/aspectron/kaspa-wasm,company-affiliated (Aspectron),SDK/library,"Original standalone home of the Rusty-Kaspa WASM32 SDK bindings for JS/TS. As of rusty-kaspa v0.14.1+, the WASM SDK ships as part of the kaspanet/rusty-kaspa repo itself (wallet/wasm folder) — this repo is the legacy/pre-merge location.",Superseded — WASM SDK now maintained inside kaspanet/rusty-kaspa; verify if this repo still receives updates,"Medium — historically important, but current canonical source is kaspanet/rusty-kaspa",,
kaspa-resolver,https://github.com/aspectron/kaspa-resolver,company-affiliated (Aspectron),infrastructure,RPC node resolver for Kaspa p2p nodes,Active,High,,
kaspa-wallet-cli,https://github.com/aspectron/kaspa-wallet-cli,company-affiliated (Aspectron),CLI tooling,Kaspa Wallet command-line interface built on the Kaspa Wallet framework,Uncertain — verify recent activity,Medium,,
kaspa-wallet,https://github.com/aspectron/kaspa-wallet,company-affiliated (Aspectron),wallet,Earlier Kaspa Wallet framework/library (predecessor tooling),Uncertain — verify if superseded by kaspa-wasm/kaspa-ng,Medium,,
kdx,https://github.com/aspectron/kdx,company-affiliated (Aspectron),wallet,Kaspa Desktop Wallet (KDX) — explicitly deprecated in favor of Kaspa NG,DEPRECATED (per README) — verify archive status,High — confirmed deprecated by maintainer,,
kaspa-graph-inspector,https://github.com/kaspa-live/kaspa-graph-inspector,community org (kaspa-live),explorer,Kaspa Graph Inspector (KGI) — displays the Kaspa Network Block DAG in real time,"Active-ish — 11 stars, 17 forks, open issues as recent as 2024; verify current cadence","Medium-High — widely used community visualizer, linked from official wiki",,
kaspa-rest-server,https://github.com/kaspa-ng/kaspa-rest-server,community org (kaspa-ng),API/indexer,REST API server for Kaspa written in Python; powers api.kaspa.org; operates on DB populated by simply-kaspa-indexer,Active,Medium-High — powers the public api.kaspa.org endpoint,,
simply-kaspa-indexer,https://github.com/supertypo/simply-kaspa-indexer,independent contributor (supertypo),API/indexer,High performance Kaspa PostgreSQL indexer implemented in Rust; successor to kaspa-db-filler,Active,"Medium-High — de facto standard community indexer, used by official rest-server",,
kaspa-db-filler-migration,https://github.com/supertypo/kaspa-db-filler-migration,independent contributor (supertypo),API/indexer,Migration scripts from Kaspa DB Filler schema to Simply Kaspa Indexer schema,"Uncertain — utility/migration repo, check activity",Medium,,
kaspa-explorer,https://github.com/lAmeR1/kaspa-explorer,independent contributor (lAmeR1),explorer,"Source code for Kaspa Explorer (explorer.kaspa.org), written in JS/React","Uncertain — 42 stars, 41 forks; verify if superseded by kaspa-explorer-ng",Medium-High — powers the widely-used explorer.kaspa.org,,
kaspa-explorer-ng,https://github.com/lAmeR1/kaspa-explorer-ng,independent contributor (lAmeR1),explorer,Next-gen rewrite of Kaspa Explorer (TypeScript),Uncertain — verify current status vs. legacy explorer,Medium,,
kaspa-rest-server-deprecated,https://github.com/lAmeR1/kaspa-rest-server-deprecated,independent contributor (lAmeR1),API/indexer,REST-API server for Kaspa network — explicitly marked deprecated; superseded by kaspa-ng/kaspa-rest-server,DEPRECATED (per README),"High — confirmed deprecated by maintainer, points to successor",,
kaspa-db-filler,https://github.com/lAmeR1/kaspa-db-filler,independent contributor (lAmeR1),API/indexer,Python script to fill a SQL DB with blocks/txs; predecessor to simply-kaspa-indexer,Legacy/superseded — verify,Medium,,
kaspa-socket-server,https://github.com/lAmeR1/kaspa-socket-server,independent contributor (lAmeR1),infrastructure,WebSocket server component for Kaspa explorer stack,Uncertain — verify activity,Low-Medium,,
py-kaspad-client,https://github.com/lAmeR1/py-kaspad-client,independent contributor (lAmeR1),SDK/library,Python client for kaspad RPC,Uncertain — verify activity,Low-Medium,,
kas-point,https://github.com/lAmeR1/kas-point,independent contributor (lAmeR1),wallet,Web wallet for Kaspa with Ledger device interaction support,Uncertain — verify activity,Medium,,
kaspa-miner (tmrlvi),https://github.com/tmrlvi/kaspa-miner,independent contributor,mining/pool,"Open-source community CPU/GPU miner for Kaspa (kHeavyHash), referenced directly by official Kaspa wiki",Uncertain — check latest release/commit date,"High — the community-standard open-source miner, cited on wiki.kaspa.org",,
kasop,https://github.com/RuFiOx/kasop,independent contributor — fork of tmrlvi/kaspa-miner,mining/pool,"Fork of kaspa-miner adding ASIC/UART support (divergent, actively extends base miner)","Uncertain — verify activity; include as divergent fork, not simple mirror",Medium,,
kaspa-stratum-bridge,https://github.com/onemorebsmith/kaspa-stratum-bridge,independent contributor (onemorebsmith),mining/pool,"Stratum bridge/adapter between stratum-based miners (bzminer, lolMiner, SRBMiner, teamredminer) and a kaspad node; basis for community pools","Uncertain — 69 stars, 109 forks; verify recent commit cadence","High — widely used pool-bridge infrastructure, referenced across mining guides",,
bzminer,https://github.com/bzminer/bzminer,"company-affiliated (closed-source, releases-only repo)",mining/pool,"Closed-source GPU miner supporting Kaspa (kHeavyHash), 1% dev fee","Uncertain — releases repo only, verify cadence","Medium — binary distribution only, no public source",,
lolMiner-releases,https://github.com/Lolliedieb/lolMiner-releases,"independent contributor (closed-source, releases-only repo)",mining/pool,Closed-source GPU miner; Kaspa pool mining + ETH/ETC dual-mining support,Uncertain — releases repo only,Medium,,
SRBMiner-Multi,https://github.com/doktor83/SRBMiner-Multi,"independent contributor (closed-source, releases-only repo)",mining/pool,Closed-source AMD miner; Kaspa pool-mining support,Uncertain — releases repo only,Medium,,
teamredminer,https://github.com/todxx/teamredminer,"independent contributor (closed-source, releases-only repo)",mining/pool,AMD-focused closed-source miner; Kaspa pool-mining support,Uncertain — releases repo only,Medium,,
GMinerRelease,https://github.com/develsoftware/GMinerRelease,"independent contributor (closed-source, releases-only repo)",mining/pool,Closed-source GPU miner; Kaspa pool-mining support,Uncertain — releases repo only,Medium,,
rigel,https://github.com/rigelminer/rigel,"independent contributor (closed-source, releases-only repo)",mining/pool,Closed-source GPU miner; Kaspa pool-mining support,Uncertain — releases repo only,Medium,,
kastle,https://github.com/forbole/kastle,company-affiliated (Forbole),wallet,"Browser extension wallet for Kaspa — KRC20/KRC721, KNS, Ledger, dApp connections",Uncertain — verify recent commit activity,"High — actively promoted official-adjacent wallet, cited on wiki.kaspa.org",,
kasware-wallet/extension,https://github.com/kasware-wallet/extension,independent contributor / community org,wallet,First open-source browser extension wallet for Kaspa; supports KRC-20,Uncertain — verify recent activity,"High — widely used, cited on wiki.kaspa.org",,
kaspium_wallet,https://github.com/azbuky/kaspium_wallet,independent contributor (azbuky / Andromeda Software),wallet,"Kaspium — non-custodial mobile wallet for Kaspa (Android/iOS), built in Dart/Flutter",Uncertain — verify last commit vs. release cadence,"High — leading mobile wallet, cited on wiki.kaspa.org and official Ledger page",,
kaspacom-web-wallet,https://github.com/KASPACOM/kaspacom-web-wallet,company-affiliated (KaspaCom),wallet,"Web wallet component of the KaspaCom ecosystem hub (swaps, KRC20, KNS, NFTs)",Uncertain — verify activity,Medium,,
kaspa-wallet (ScopeLift),https://github.com/ScopeLift/kaspa-wallet,company-affiliated (ScopeLift),wallet,Web wallet for the Kaspa blockchain network,"Uncertain — likely early/legacy project, verify if still maintained",Low-Medium — appears to be an early-stage/legacy entry,,
kasvault,https://github.com/coderofstuff/kasvault,independent contributor (coderofstuff),wallet,Frontend web interface for using a Ledger hardware wallet with Kaspa (WebUSB/WebHID),Uncertain — verify activity,High — official-guide-linked (wiki.kaspa.org) Ledger companion app,,
hw-app-kaspa,https://github.com/coderofstuff/hw-app-kaspa,independent contributor (coderofstuff),SDK/library,"Ledger hardware wallet JavaScript bindings for Kaspa (get pubkey, sign tx)",Uncertain — verify activity,High — underlies official Ledger Kaspa integration,,
app-kaspa,https://github.com/coderofstuff/app-kaspa,"independent contributor (coderofstuff), built via Ledger's official app-builder tooling",wallet,Kaspa embedded application for Ledger devices — the official Ledger Live Kaspa integration,Uncertain — verify activity,"High — this is the actual Ledger device app, community-authored but officially adopted by Ledger",,
sdk-kiwi,https://github.com/kasplex/sdk-kiwi,company-affiliated (Kasplex),SDK/library,SDK for Kasplex wallet integration (JavaScript),Active — last push Jun 23 2026,High — official Kasplex org repo,,
go-krc20d,https://github.com/kasplex/go-krc20d,company-affiliated (Kasplex),KRC20/token standard,KRC-20 node written in Go,Uncertain — verify activity,High — official Kasplex org repo,,
indexer-executor,https://github.com/kasplex/indexer-executor,company-affiliated (Kasplex),API/indexer,Kasplex indexer executor (C++),ARCHIVED (marked 'Public archive'),High — official Kasplex org repo,,
evm-l2-relayer,https://github.com/kasplex/evm-l2-relayer,company-affiliated (Kasplex),infrastructure,Relayer for Kasplex EVM L2 (Go),Uncertain — verify activity,High — official Kasplex org repo,,
evm-l2-nodes-docker,https://github.com/kasplex/evm-l2-nodes-docker,company-affiliated (Kasplex),infrastructure,Dockerized node setup for Kasplex EVM L2,Uncertain — verify activity,High — official Kasplex org repo,,
evm-l2-audit,https://github.com/kasplex/evm-l2-audit,company-affiliated (Kasplex),other,Audit materials for Kasplex EVM L2,Uncertain — verify activity,High — official Kasplex org repo,,
KasplexBuilder,https://github.com/KaffinPX/KasplexBuilder,independent contributor (KaffinPX),KRC20/token standard,Utility library for interacting with the Kasplex indexer and creating KRC-20 inscriptions,Uncertain — verify activity,Medium-High — widely referenced in KRC20 tooling,,
Kaspian-KRC20,https://github.com/KaffinPX/Kaspian-KRC20,independent contributor (KaffinPX),other (dApp),First Kaspa dApp to interact with the Kasplex protocol via the Kaspian wallet provider,Uncertain — verify activity,Medium,,
KStratum,https://github.com/KaffinPX/KStratum,independent contributor (KaffinPX),mining/pool,Stratum implementation credited as inspiration for kaspa-stratum-bridge,"Uncertain — verify existence/activity, only referenced secondhand",Low-Medium — not independently confirmed via direct repo view,,
kaspa (xiaohuasheng0x1/blockchains),https://github.com/xiaohuasheng0x1/blockchains,independent contributor,SDK/library,Go package for interacting with the Kaspa blockchain (multi-chain wallet SDK submodule),"Uncertain — verify activity, part of a larger multi-chain repo","Low — generic multi-chain wallet lib, weak Kaspa-specific signal",,
kaspaper,https://github.com/svarogg/kaspaper,independent contributor (svarogg),wallet,Tiny KASPA paper wallet generator (Go),Uncertain — verify activity,Low-Medium — niche utility,,
zealousswap (org),https://github.com/zealousswap,independent/company (Zealous Swap team),other (DeFi),GitHub org for Zealous Swap — first AMM DEX on the Kaspa ecosystem (via Kasplex EVM L2); 7 repos incl. whitepaper,Uncertain — verify per-repo activity; only whitepaper repo content confirmed,"Medium — notable ecosystem DeFi project, org existence confirmed, contents of all 7 repos not individually verified",,
swap-widget / swap-sdk,https://github.com/kaspacom/swap-widget,company-affiliated (KaspaCom),other (DeFi),"Headless swap SDK for Kaspa DeFi (KaspaCom), powers token swap UI widgets",Uncertain — verify activity,Medium,,
K-indexer,https://github.com/thesheepcat/K-indexer,independent contributor (thesheepcat),other (dApp/social),"Indexer backend for 'K', a decentralized microblogging/social protocol built on Kaspa",Uncertain — verify activity,"Medium — novel dApp use case, single-maintainer project",,
karlsen-explorer,https://github.com/karlsen-network/karlsen-explorer,"independent contributor — fork for a DIFFERENT chain (Karlsen), not Kaspa itself",explorer,Fork of Kaspa Explorer adapted for the Karlsen network (a separate kHeavyHash-based chain) — NOT part of Kaspa's own ecosystem,Uncertain,"Low — include only as a reference fork; Karlsen is a distinct project/chain, not a Kaspa L2 or Kaspa-branded tool",,
ghost-wallet/web-extension,https://github.com/ghost-wallet/web-extension,independent contributor / small team (Ghost Wallet),wallet,First open-source Chrome web-extension wallet for Kaspa & KRC20 tokens; forked from Kaspian; integrates Chainge for swaps,Uncertain — verify activity,"Medium-High — actively marketed community wallet, cited on wiki.kaspa.org",,
kaspa-krc20-apps,https://github.com/coinchimp/kaspa-krc20-apps,independent contributor (coinchimp),KRC20/token standard,CLI tool for generating BIP39/BIP32 mnemonic/keys and minting KRC20 tokens on Kaspa,Uncertain — verify activity,Low-Medium — niche utility script,,
argent (michaelsutton),https://github.com/michaelsutton/argent,independent contributor — personal repo of Michael Sutton (lead rusty-kaspa dev),other (Toccata programmability),"Experimental actor-style language/frontend for multi-contract Kaspa covenant apps; lowers into Silverscript. Explicitly flagged by official Kaspa docs as an early prototype, not production-stable",Early/experimental — status per official docs as of the Toccata dev guide (mainnet-active June 30 2026),High — directly named and linked from docs.kaspa.org/toccata/argent as the reference implementation,,
kaspa-js,https://github.com/K-Kluster/kaspa-js,community org (K-Kluster),SDK/library,"Collection of TS/JS utilities for Kaspa integration: address encode/decode, Schnorr signature verification, Sign-In-with-Kaspa (SIWK), CLI starter (@kluster/kaspa-starter-cli), React/Node/FastAPI starter kits, KIP-12 dApp wallet-connection examples",Uncertain — verify current commit activity,"Medium-High — actively documented, multi-package monorepo with real starter tooling",,
kaspa-sdk,https://github.com/0xhappyboy/kaspa-sdk,independent contributor,sdk/library,"A fully functional implementation of an SDK for the Kaspa Network, covering most interoperability functions.","Uncertain — per AI research pass, not independently verified",Medium,,
kaspa-wasm-sign,https://github.com/brucelei/kaspa-wasm-sign,independent contributor,sdk/library,"JSR package for Rusty-Kaspa WASM32 bindings, integrating Rust/Rusty-Kaspa code into JS/TS environments.","Uncertain — per AI research pass, not independently verified",Medium,,
kas-demo-wallet,https://github.com/coderofstuff/kas-demo-wallet,independent contributor,wallet,"A demo wallet using @kaspa/core-lib showcasing address creation, UTXO retrieval, and transaction signing.","Uncertain — per AI research pass, not independently verified",Medium,,
kaspad-py-explorer,https://github.com/kaspagang/kaspad-py-explorer,independent contributor (kaspagang),explorer,Python tool for reading and analyzing the Kaspa full-node Level-DB database. Research/exploration tool.,"Active — last push Feb 10, 2024 (per AI research pass)",Medium,,
kaspa-wallet (KeenHero),https://github.com/KeenHero/kaspa-wallet,independent contributor (KeenHero),api/indexer,"A Kaspa REST API client and indexer for KRC-20 tokens, used in a web wallet implementation.","Uncertain — per AI research pass, not independently verified",Medium,,
kaspa-xmss,https://github.com/biryukovmaxim/kaspa-xmss,independent contributor,programmability/covenants,"Research experiment implementing XMSS signatures within a Kaspa covenant, using KIP-20 Covenant IDs.",Stale — last push Jul 2023 (per AI research pass),Low,,
OpenSilver,https://github.com/trillskillz/OpenSilver,independent contributor,programmability/covenants,"Project aiming to make secure L1 covenants the path of least resistance for builders, using KIP-20 as foundation.","Uncertain — per AI research pass, not independently verified",Low,,
kaspa-script,https://github.com/urandom-dev/kaspa-script,independent contributor,programmability/covenants,"Rust compiler workspace for deterministic Kaspa contract artifacts, aiming to make covenant construction inspectable.","Uncertain — per AI research pass, not independently verified",Medium,,
KaspianKRC20,https://github.com/KaffinPX/KaspianKRC20,independent contributor (KaffinPX),other (dapp),React app integrating KaspianProvider and KasplexBuilder to enable KRC-20 token functionality via the Kaspian wallet.,"Uncertain — per AI research pass, not independently verified",Medium,,
KasDraw,https://github.com/NukeThemAII/KasDraw,independent contributor,other (dapp),"A decentralized lottery application built on EVM-compatible chains, featuring on-chain randomness.","Uncertain — per AI research pass, not independently verified",Medium,,
kaspa-arena,https://github.com/w00c00/kaspa-arena,independent contributor,other (dapp),Experimental project validating Kaspa's covenant and Silverscript capabilities via a five-in-a-row game on Testnet 10.,"Uncertain — per AI research pass, not independently verified",Medium,,
kaspa402,https://github.com/cosmasken/kaspa402,independent contributor,infrastructure,Starter kit for monetizing APIs instantly with Kaspa using the HTTP 402 Payment Required standard.,"Uncertain — per AI research pass, not independently verified",Medium,,
Kaspa-University-KU-Protocol,https://github.com/Dr-Liberty/Kaspa-University-KU-Protocol,independent contributor,other (education),Learn-to-earn educational platform on the Kaspa BlockDAG where learners earn KAS for completing courses.,"Uncertain — per AI research pass, not independently verified",Medium,,
K-SYNCHRONY,https://github.com/Aaditya1273/K-SYNCHRONY,independent contributor,other (iot),"Real-time ""Programmable Commerce & Data"" SDK for Kaspa spanning payments, gaming, and IoT data-anchoring use cases.",Active (per independent verification),Medium,yes,2026-08-10
oracle-kaspa,https://github.com/edenbd1/oracle-kaspa,independent contributor,other (defi),"Price oracle combined with binary outcome markets, powered by KRC-20 tokens and an LMSR automated market maker.","Uncertain — per AI research pass, not independently verified",Medium,,
KRC20-ForestSeeker,https://github.com/on3ir0s/KRC20-ForestSeeker,independent contributor,cli tooling,Command-line tool to retrieve KRC-20 transaction histories for wallets/tokens and create snapshots.,"Uncertain — per AI research pass, not independently verified",Medium,,
